Interest,Engagement,Excitement,Stress,Relaxation,Focus
55.772,45.82,75.03,42.221,29.396,57.965
55.69,53.854,75.545,45.51,28.715,59.859
55.832,45.566,75.999,49.574,28.137,61.196
56.563,44.638,76.409,60.051,27.844,65.022
57.505,49.104,76.763,71.604,27.995,69.296
58.683,48.956,76.913,78.647,28.283,71.678
60.298,39.256,76.575,83.436,28.672,72.715
61.952,36.669,76,84.972,29.025,72.893
63.129,38.432,75.473,84.34,29.465,72.444
63.398,35.872,74.993,82.974,29.92,71.506
62.738,29.402,74.85,80.664,30.332,69.996
61.411,24.957,74.968,80.049,30.567,69.216
59.949,25.446,75.131,79.296,30.779,68.615
59.17,27.39,75.275,78.813,31.111,68.134
59.225,26.904,75.403,84.806,31.412,69.9
59.652,32.326,75.06,84.022,32.052,69.383
60.041,31.989,74.295,82.307,32.712,68.289
60.395,32.673,73.594,82.758,33.312,68.055
60.336,38.339,72.953,81.724,33.856,67.578
59.442,29.782,73.316,80.922,34.202,66.522
58.524,36.097,73.906,81.526,34.257,66.812
58.232,40.657,74.624,80.092,33.91,66.524
58.085,37.259,75.508,81.009,33.598,66.678
57.784,36.355,75.803,81.462,33.602,66.64
57.687,32.861,75.774,79.85,33.71,65.676
57.978,28.312,75.664,78.103,33.808,64.582
58.206,24.192,75.646,72.765,33.896,62.168
58.351,26.242,75.864,69.548,33.974,60.799
58.181,28.336,75.998,66.926,34.327,59.535
57.42,29.315,76.08,65.31,34.798,58.538
56.718,43.783,76.058,65.014,34.809,58.976
56.652,41.771,76.113,63.351,34.734,58.22
57.285,41.273,76.056,63.444,34.666,58.162
58.071,46.295,75.691,67.082,34.605,59.686
58.336,48.152,75.175,75.655,34.55,62.879
58.102,39.001,74.85,81.944,34.38,64.725
58.16,44.466,74.714,81.999,34.52,64.838
58.642,40.59,74.402,80.501,34.685,63.943
59.471,46.964,73.778,77.837,34.833,63.16
59.737,46.339,73.068,75.305,34.967,62.126
59.025,39.449,72.768,72.54,34.578,60.906
57.689,40.921,72.496,73.399,33.753,61.591
56.039,46.743,72.707,81.528,32.94,65.114
54.546,47.934,73.289,87.492,32.217,67.597
53.752,49.616,73.805,91.244,31.573,69.282
53.643,49.331,74.669,88.232,31.031,68.361
54.199,45.001,75.458,84.103,30.548,66.794
55.192,38.158,76.201,79.984,30.116,65.035
55.821,38.304,76.66,75.733,29.552,63.619
55.738,40.319,77.066,74.045,28.848,63.305
55.131,35.693,77.528,78.761,28.222,64.934
55.043,31.816,77.621,83.001,27.666,66.377
56.299,31.546,77.558,89.956,27.273,68.888
58.095,29.783,77.5,93.933,27.676,69.847
59.129,28.913,77.518,96.442,29.246,69.72
59.135,34.611,77.673,98.662,30.791,69.836
59.02,45.36,77.81,99.306,32.219,69.765
58.837,47.217,77.978,99.594,34.003,69.017
56.582,47.026,78.298,99.609,35.757,68.085
52.228,49.845,79.11,99.574,41.965,65.043
48.189,54.091,79.817,99.558,47.522,62.44
47.001,48.807,80.433,99.545,52.623,59.606
49.259,39.723,80.961,99.446,57.74,56.486
53.406,38.048,80.523,99.443,57.67,56.354
56.762,49.529,78.936,99.189,57.605,56.878
58.493,45.845,76.88,98.683,57.436,56.695
59.23,40.434,74.916,98.382,57.282,56.448
59.762,35.551,73.058,97.513,57.141,55.96
